date,city,weather_condition,temperature,humidity
2024-01-01,Bangalore,Storm,34,45
2024-01-01,Hyderabad,Rain,23,78
2024-01-01,Chennai,Clear,38,48
2024-01-01,Mumbai,Fog,35,75
2024-01-01,Pune,Storm,23,79
2024-01-01,Delhi,Clear,40,60
2024-01-01,Jaipur,Rain,29,74
2024-01-01,Lucknow,Fog,29,42
2024-01-01,Patna,Clear,21,59
2024-01-01,Indore,Rain,28,92
2024-01-02,Bangalore,Fog,24,57
2024-01-02,Hyderabad,Storm,33,44
2024-01-02,Chennai,Storm,22,71
2024-01-02,Mumbai,Storm,29,66
2024-01-02,Pune,Clear,20,58
2024-01-02,Delhi,Storm,25,85
2024-01-02,Jaipur,Clear,24,73
2024-01-02,Lucknow,Clear,31,47
2024-01-02,Patna,Clear,28,89
2024-01-02,Indore,Storm,30,47
2024-01-03,Bangalore,Rain,38,53
2024-01-03,Hyderabad,Clear,27,43
2024-01-03,Chennai,Storm,29,93
2024-01-03,Mumbai,Clear,37,76
2024-01-03,Pune,Storm,37,82
2024-01-03,Delhi,Storm,23,65
2024-01-03,Jaipur,Clear,29,66
2024-01-03,Lucknow,Clear,30,57
2024-01-03,Patna,Clear,24,44
2024-01-03,Indore,Clear,38,40
2024-01-04,Bangalore,Clear,35,42
2024-01-04,Hyderabad,Fog,31,65
2024-01-04,Chennai,Clear,28,50
2024-01-04,Mumbai,Rain,22,61
2024-01-04,Pune,Rain,25,81
2024-01-04,Delhi,Clear,40,91
2024-01-04,Jaipur,Clear,35,53
2024-01-04,Lucknow,Rain,25,87
2024-01-04,Patna,Rain,33,40
2024-01-04,Indore,Storm,38,90
2024-01-05,Bangalore,Rain,35,75
2024-01-05,Hyderabad,Rain,21,67
2024-01-05,Chennai,Rain,39,82
2024-01-05,Mumbai,Fog,26,92
2024-01-05,Pune,Storm,31,48
2024-01-05,Delhi,Fog,38,66
2024-01-05,Jaipur,Storm,28,55
2024-01-05,Lucknow,Clear,33,56
2024-01-05,Patna,Fog,20,47
2024-01-05,Indore,Fog,38,52
2024-01-06,Bangalore,Storm,24,76
2024-01-06,Hyderabad,Rain,40,77
2024-01-06,Chennai,Clear,27,48
2024-01-06,Mumbai,Clear,27,55
2024-01-06,Pune,Clear,22,83
2024-01-06,Delhi,Fog,24,53
2024-01-06,Jaipur,Storm,23,76
